ticker,filing_type,chunks,filings,total_words,mean_words,median_words,min_words,max_words,unknown_heading_chunks
AAPL,10-K,111,1,37690,339.55,400.0,1,400,3
AAPL,10-Q,47,1,15904,338.38,400.0,1,400,2
AAPL,8-K,13,5,3362,258.62,355.0,80,400,9
AMZN,10-K,140,1,52130,372.36,400.0,1,400,3
AMZN,10-Q,90,1,32826,364.73,400.0,1,400,2
AMZN,8-K,26,5,4121,158.5,86.0,1,400,5
GOOG,10-K,177,1,64395,363.81,400.0,1,400,5
GOOG,10-Q,76,1,28630,376.71,400.0,6,400,4
GOOG,8-K,31,5,9172,295.87,400.0,23,400,14
META,10-K,260,1,97755,375.98,400.0,1,400,9
META,10-Q,189,1,73705,389.97,400.0,26,400,8
META,8-K,15,5,4228,281.87,308.0,88,400,7
NFLX,10-K,143,1,50564,353.59,400.0,1,400,4
NFLX,10-Q,48,1,17691,368.56,400.0,32,400,26
NFLX,8-K,20,5,5556,277.8,310.0,72,400,8
