company,ticker,cik,filing_type,filing_date,accession_number,source_url,local_raw_path,raw_format,local_markdown_path,human_readable_format,human_readable_warning,local_cleaned_path,raw_length,cleaned_length,warnings,retained_ratio,retained_pct
"Meta Platforms, Inc.",META,0001326801,10-K,2026-01-29,0001628280-26-003942,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,data/raw/meta/2026-01-29_10-K_000162828026003942.html,html,data/human_readable/meta/2026-01-29_10-K_000162828026003942.md,markdown,,data/processed/meta/cleaned_filings/2026-01-29_10-K_000162828026003942.txt,2371750,518295,['html_tables_flattened_to_text'],0.21852851270159165,21.85
"Meta Platforms, Inc.",META,0001326801,10-Q,2026-04-30,0001628280-26-028526,https://www.sec.gov/Archives/edgar/data/1326801/000162828026028526/meta-20260331.htm,data/raw/meta/2026-04-30_10-Q_000162828026028526.html,html,data/human_readable/meta/2026-04-30_10-Q_000162828026028526.md,markdown,,data/processed/meta/cleaned_filings/2026-04-30_10-Q_000162828026028526.txt,1485906,388237,['html_tables_flattened_to_text'],0.2612796502605145,26.13
"Meta Platforms, Inc.",META,0001326801,8-K,2026-05-29,0001628280-26-039193,https://www.sec.gov/Archives/edgar/data/1326801/000162828026039193/meta-20260527.htm,data/raw/meta/2026-05-29_8-K_000162828026039193.html,html,data/human_readable/meta/2026-05-29_8-K_000162828026039193.md,markdown,,data/processed/meta/cleaned_filings/2026-05-29_8-K_000162828026039193.txt,79404,9323,"['large_length_reduction', 'html_tables_flattened_to_text']",0.11741222104679865,11.74
"Meta Platforms, Inc.",META,0001326801,8-K,2026-05-04,0001193125-26-204128,https://www.sec.gov/Archives/edgar/data/1326801/000119312526204128/d134616d8k.htm,data/raw/meta/2026-05-04_8-K_000119312526204128.html,html,data/human_readable/meta/2026-05-04_8-K_000119312526204128.md,markdown,,data/processed/meta/cleaned_filings/2026-05-04_8-K_000119312526204128.txt,32294,6663,"['html_tables_flattened_to_text', 'no_section_headings_detected']",0.2063231560042113,20.63
"Meta Platforms, Inc.",META,0001326801,8-K,2026-04-29,0001628280-26-028364,https://www.sec.gov/Archives/edgar/data/1326801/000162828026028364/meta-20260429.htm,data/raw/meta/2026-04-29_8-K_000162828026028364.html,html,data/human_readable/meta/2026-04-29_8-K_000162828026028364.md,markdown,,data/processed/meta/cleaned_filings/2026-04-29_8-K_000162828026028364.txt,28957,3931,"['large_length_reduction', 'html_tables_flattened_to_text']",0.13575301308837243,13.58
"Meta Platforms, Inc.",META,0001326801,8-K,2026-04-14,0001628280-26-025108,https://www.sec.gov/Archives/edgar/data/1326801/000162828026025108/meta-20260408.htm,data/raw/meta/2026-04-14_8-K_000162828026025108.html,html,data/human_readable/meta/2026-04-14_8-K_000162828026025108.md,markdown,,data/processed/meta/cleaned_filings/2026-04-14_8-K_000162828026025108.txt,24484,2871,"['large_length_reduction', 'html_tables_flattened_to_text']",0.11726025159287698,11.73
"Meta Platforms, Inc.",META,0001326801,8-K,2026-01-28,0001628280-26-003832,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003832/meta-20260128.htm,data/raw/meta/2026-01-28_8-K_000162828026003832.html,html,data/human_readable/meta/2026-01-28_8-K_000162828026003832.md,markdown,,data/processed/meta/cleaned_filings/2026-01-28_8-K_000162828026003832.txt,29178,3957,"['large_length_reduction', 'html_tables_flattened_to_text']",0.1356158749742957,13.56
AMAZON COM INC,AMZN,0001018724,10-K,2026-02-06,0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,data/raw/amzn/2026-02-06_10-K_000101872426000004.html,html,data/human_readable/amzn/2026-02-06_10-K_000101872426000004.md,markdown,,data/processed/amzn/cleaned_filings/2026-02-06_10-K_000101872426000004.txt,1968342,285226,"['large_length_reduction', 'html_tables_flattened_to_text']",0.14490672860712214,14.49
AMAZON COM INC,AMZN,0001018724,10-Q,2026-04-30,0001018724-26-000014,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm,data/raw/amzn/2026-04-30_10-Q_000101872426000014.html,html,data/human_readable/amzn/2026-04-30_10-Q_000101872426000014.md,markdown,,data/processed/amzn/cleaned_filings/2026-04-30_10-Q_000101872426000014.txt,1241244,179388,"['large_length_reduction', 'html_tables_flattened_to_text']",0.14452275298007483,14.45
AMAZON COM INC,AMZN,0001018724,8-K,2026-06-12,0001104659-26-073562,https://www.sec.gov/Archives/edgar/data/1018724/000110465926073562/tm2613616d5_8k.htm,data/raw/amzn/2026-06-12_8-K_000110465926073562.html,html,data/human_readable/amzn/2026-06-12_8-K_000110465926073562.md,markdown,,data/processed/amzn/cleaned_filings/2026-06-12_8-K_000110465926073562.txt,60941,6265,"['large_length_reduction', 'html_tables_flattened_to_text']",0.10280435175005333,10.28
