company,ticker,cik,filing_type,filing_date,accession_number,source_url,local_raw_path,raw_format,local_markdown_path,human_readable_format,human_readable_warning
"Meta Platforms, Inc.",META,0001326801,10-K,2026-01-29,0001628280-26-003942,https://www.sec.gov/Archives/edgar/data/1326801/000162828026003942/meta-20251231.htm,data/raw/meta/2026-01-29_10-K_000162828026003942.html,html,data/human_readable/meta/2026-01-29_10-K_000162828026003942.md,markdown,
"Meta Platforms, Inc.",META,0001326801,10-Q,2026-04-30,0001628280-26-028526,https://www.sec.gov/Archives/edgar/data/1326801/000162828026028526/meta-20260331.htm,data/raw/meta/2026-04-30_10-Q_000162828026028526.html,html,data/human_readable/meta/2026-04-30_10-Q_000162828026028526.md,markdown,
"Meta Platforms, Inc.",META,0001326801,8-K,2026-05-29,0001628280-26-039193,https://www.sec.gov/Archives/edgar/data/1326801/000162828026039193/meta-20260527.htm,data/raw/meta/2026-05-29_8-K_000162828026039193.html,html,data/human_readable/meta/2026-05-29_8-K_000162828026039193.md,markdown,
AMAZON COM INC,AMZN,0001018724,10-K,2026-02-06,0001018724-26-000004,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000004/amzn-20251231.htm,data/raw/amzn/2026-02-06_10-K_000101872426000004.html,html,data/human_readable/amzn/2026-02-06_10-K_000101872426000004.md,markdown,
AMAZON COM INC,AMZN,0001018724,10-Q,2026-04-30,0001018724-26-000014,https://www.sec.gov/Archives/edgar/data/1018724/000101872426000014/amzn-20260331.htm,data/raw/amzn/2026-04-30_10-Q_000101872426000014.html,html,data/human_readable/amzn/2026-04-30_10-Q_000101872426000014.md,markdown,
AMAZON COM INC,AMZN,0001018724,8-K,2026-07-09,0001104659-26-082293,https://www.sec.gov/Archives/edgar/data/1018724/000110465926082293/tm2619352d4_8k.htm,data/raw/amzn/2026-07-09_8-K_000110465926082293.html,html,data/human_readable/amzn/2026-07-09_8-K_000110465926082293.md,markdown,
Apple Inc.,AAPL,0000320193,10-K,2025-10-31,0000320193-25-000079,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/aapl-20250927.htm,data/raw/aapl/2025-10-31_10-K_000032019325000079.html,html,data/human_readable/aapl/2025-10-31_10-K_000032019325000079.md,markdown,
Apple Inc.,AAPL,0000320193,10-Q,2026-05-01,0000320193-26-000013,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/aapl-20260328.htm,data/raw/aapl/2026-05-01_10-Q_000032019326000013.html,html,data/human_readable/aapl/2026-05-01_10-Q_000032019326000013.md,markdown,
Apple Inc.,AAPL,0000320193,8-K,2026-04-30,0000320193-26-000011,https://www.sec.gov/Archives/edgar/data/320193/000032019326000011/aapl-20260430.htm,data/raw/aapl/2026-04-30_8-K_000032019326000011.html,html,data/human_readable/aapl/2026-04-30_8-K_000032019326000011.md,markdown,
NETFLIX INC,NFLX,0001065280,10-K,2026-01-23,0001065280-26-000034,https://www.sec.gov/Archives/edgar/data/1065280/000106528026000034/nflx-20251231.htm,data/raw/nflx/2026-01-23_10-K_000106528026000034.html,html,data/human_readable/nflx/2026-01-23_10-K_000106528026000034.md,markdown,
NETFLIX INC,NFLX,0001065280,10-Q,2026-04-17,0001065280-26-000138,https://www.sec.gov/Archives/edgar/data/1065280/000106528026000138/nflx-20260331.htm,data/raw/nflx/2026-04-17_10-Q_000106528026000138.html,html,data/human_readable/nflx/2026-04-17_10-Q_000106528026000138.md,markdown,
NETFLIX INC,NFLX,0001065280,8-K,2026-06-05,0001065280-26-000189,https://www.sec.gov/Archives/edgar/data/1065280/000106528026000189/nflx-20260604.htm,data/raw/nflx/2026-06-05_8-K_000106528026000189.html,html,data/human_readable/nflx/2026-06-05_8-K_000106528026000189.md,markdown,
Alphabet Inc.,GOOG,0001652044,10-K,2026-02-05,0001652044-26-000018,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000018/goog-20251231.htm,data/raw/goog/2026-02-05_10-K_000165204426000018.html,html,data/human_readable/goog/2026-02-05_10-K_000165204426000018.md,markdown,
Alphabet Inc.,GOOG,0001652044,10-Q,2026-04-30,0001652044-26-000048,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000048/goog-20260331.htm,data/raw/goog/2026-04-30_10-Q_000165204426000048.html,html,data/human_readable/goog/2026-04-30_10-Q_000165204426000048.md,markdown,
Alphabet Inc.,GOOG,0001652044,8-K,2026-06-11,0001193125-26-267578,https://www.sec.gov/Archives/edgar/data/1652044/000119312526267578/d57679d8k.htm,data/raw/goog/2026-06-11_8-K_000119312526267578.html,html,data/human_readable/goog/2026-06-11_8-K_000119312526267578.md,markdown,
